#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4    Pop:5    Pop:6    Pop:7    Pop:8    Pop:9
       1    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
       2    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
       3    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
       4    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
       5    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
       6    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
       7    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
       8    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
       9    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      10    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      11    0.091    0.909    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      12    0.167    0.833    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      13    0.231    0.769    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      14    0.286    0.714    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      15    0.333    0.667    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      16    0.375    0.625    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      17    0.412    0.588    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      18    0.444    0.556    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      19    0.474    0.526    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      20    0.500    0.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      21    0.524    0.476    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      22    0.545    0.455    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      23    0.565    0.435    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      24    0.583    0.417    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      25    0.600    0.400    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      26    0.615    0.385    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      27    0.630    0.370    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      28    0.643    0.357    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      29    0.655    0.345    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      30    0.667    0.333    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      31    0.677    0.323    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      32    0.688    0.312    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      33    0.697    0.303    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      34    0.706    0.294    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      35    0.714    0.286    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      36    0.722    0.278    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      37    0.730    0.270    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      38    0.737    0.263    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      39    0.744    0.256    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      40    0.750    0.250    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      41    0.756    0.244    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      42    0.762    0.238    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      43    0.767    0.233    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      44    0.773    0.227    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      45    0.778    0.222    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      46    0.783    0.217    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      47    0.787    0.213    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      48    0.792    0.208    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      49    0.796    0.204    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      50    0.800    0.200    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      51    0.804    0.196    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      52    0.808    0.192    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      53    0.811    0.189    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      54    0.815    0.185    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      55    0.818    0.182    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      56    0.821    0.179    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      57    0.825    0.175    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      58    0.828    0.172    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      59    0.831    0.169    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      60    0.833    0.167    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      61    0.836    0.164    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      62    0.839    0.161    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      63    0.841    0.159    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      64    0.844    0.156    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      65    0.846    0.154    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      66    0.848    0.152    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      67    0.851    0.149    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      68    0.853    0.147    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      69    0.855    0.145    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
      70    0.857    0.143    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000
