# 1st <= 1210 < 2nd
# 1st= 1210  2nd= 1210
#Cluster    Total     Frac C#      Color NumIn1st NumIn2nd    Frac1    Frac2   First1   First2
0            1212   0.5008  1      black      805      407   0.6653   0.3364       11      156
1             410   0.1694  2        red      177      233   0.1463   0.1926        1        1
2             351   0.1450  3      green        0      351   0.0000   0.2901       -1      457
3             219   0.0905  4       blue        0      219   0.0000   0.1810       -1      992
4             135   0.0558  5     yellow      135        0   0.1116   0.0000     1076       -1
5              69   0.0285  6      brown       69        0   0.0570   0.0000      994       -1
6              13   0.0054  7       grey       13        0   0.0107   0.0000      891       -1
7               5   0.0021  8     violet        5        0   0.0041   0.0000      880       -1
8               5   0.0021  9       cyan        5        0   0.0041   0.0000      882       -1
9               1   0.0004 10    magenta        1        0   0.0008   0.0000      881       -1
