#Frame      Pop:0    Pop:1    Pop:2    Pop:3    Pop:4    Pop:5    Pop:6    Pop:7    Pop:8    Pop:9
       1    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000
       2    0.500    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.500    0.000
       3    0.667    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.333    0.000
       4    0.750    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.250    0.000
       5    0.800    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.200    0.000
       6    0.833    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.167    0.000
       7    0.857    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.143    0.000
       8    0.875    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.125    0.000
       9    0.889    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.111    0.000
      10    0.900    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.100    0.000
      11    0.909    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.091    0.000
      12    0.917    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.083    0.000
      13    0.923    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.077    0.000
      14    0.929    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.071    0.000
      15    0.933    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.067    0.000
      16    0.938    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.062    0.000
      17    0.941    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.059    0.000
      18    0.944    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.056    0.000
      19    0.895    0.000    0.000    0.000    0.000    0.000    0.000    0.053    0.053    0.000
      20    0.850    0.000    0.000    0.000    0.000    0.000    0.000    0.100    0.050    0.000
      21    0.810    0.000    0.000    0.000    0.000    0.000    0.000    0.143    0.048    0.000
      22    0.773    0.000    0.000    0.000    0.000    0.000    0.000    0.182    0.045    0.000
      23    0.739    0.000    0.000    0.000    0.000    0.000    0.000    0.217    0.043    0.000
      24    0.750    0.000    0.000    0.000    0.000    0.000    0.000    0.208    0.042    0.000
      25    0.760    0.000    0.000    0.000    0.000    0.000    0.000    0.200    0.040    0.000
      26    0.769    0.000    0.000    0.000    0.000    0.000    0.000    0.192    0.038    0.000
      27    0.778    0.000    0.000    0.000    0.000    0.000    0.000    0.185    0.037    0.000
      28    0.786    0.000    0.000    0.000    0.000    0.000    0.000    0.179    0.036    0.000
      29    0.793    0.000    0.000    0.000    0.000    0.000    0.000    0.172    0.034    0.000
      30    0.800    0.000    0.000    0.000    0.000    0.000    0.000    0.167    0.033    0.000
      31    0.806    0.000    0.000    0.000    0.000    0.000    0.000    0.161    0.032    0.000
      32    0.812    0.000    0.000    0.000    0.000    0.000    0.000    0.156    0.031    0.000
      33    0.818    0.000    0.000    0.000    0.000    0.000    0.000    0.152    0.030    0.000
      34    0.824    0.000    0.000    0.000    0.000    0.000    0.000    0.147    0.029    0.000
      35    0.800    0.000    0.000    0.000    0.000    0.000    0.000    0.171    0.029    0.000
      36    0.778    0.000    0.000    0.000    0.000    0.000    0.000    0.194    0.028    0.000
      37    0.757    0.000    0.000    0.000    0.000    0.000    0.000    0.216    0.027    0.000
      38    0.737    0.000    0.000    0.000    0.000    0.000    0.000    0.237    0.026    0.000
      39    0.718    0.000    0.000    0.000    0.000    0.000    0.000    0.256    0.026    0.000
      40    0.700    0.000    0.000    0.000    0.000    0.000    0.000    0.275    0.025    0.000
      41    0.683    0.000    0.000    0.000    0.000    0.000    0.000    0.293    0.024    0.000
      42    0.667    0.000    0.000    0.000    0.000    0.000    0.000    0.310    0.024    0.000
      43    0.651    0.000    0.000    0.000    0.000    0.000    0.000    0.326    0.023    0.000
      44    0.636    0.000    0.000    0.000    0.000    0.000    0.000    0.341    0.023    0.000
      45    0.622    0.000    0.000    0.000    0.000    0.000    0.000    0.356    0.022    0.000
      46    0.609    0.000    0.000    0.000    0.000    0.000    0.000    0.370    0.022    0.000
      47    0.596    0.000    0.000    0.000    0.000    0.000    0.000    0.383    0.021    0.000
      48    0.583    0.000    0.000    0.000    0.000    0.000    0.000    0.396    0.021    0.000
      49    0.571    0.000    0.000    0.000    0.000    0.000    0.000    0.408    0.020    0.000
      50    0.560    0.000    0.000    0.000    0.000    0.000    0.000    0.420    0.020    0.000
      51    0.549    0.000    0.000    0.000    0.000    0.000    0.000    0.431    0.020    0.000
      52    0.558    0.000    0.000    0.000    0.000    0.000    0.000    0.423    0.019    0.000
      53    0.566    0.000    0.000    0.000    0.000    0.000    0.000    0.415    0.019    0.000
      54    0.574    0.000    0.000    0.000    0.000    0.000    0.000    0.407    0.019    0.000
      55    0.582    0.000    0.000    0.000    0.000    0.000    0.000    0.400    0.018    0.000
      56    0.589    0.000    0.000    0.000    0.000    0.000    0.000    0.393    0.018    0.000
      57    0.596    0.000    0.000    0.000    0.000    0.000    0.000    0.386    0.018    0.000
      58    0.603    0.000    0.000    0.000    0.000    0.000    0.000    0.379    0.017    0.000
      59    0.610    0.000    0.000    0.000    0.000    0.000    0.000    0.373    0.017    0.000
      60    0.617    0.000    0.000    0.000    0.000    0.000    0.000    0.367    0.017    0.000
      61    0.623    0.000    0.000    0.000    0.000    0.000    0.000    0.361    0.016    0.000
      62    0.629    0.000    0.000    0.000    0.000    0.000    0.000    0.355    0.016    0.000
      63    0.635    0.000    0.000    0.000    0.000    0.000    0.000    0.349    0.016    0.000
      64    0.641    0.000    0.000    0.000    0.000    0.000    0.000    0.344    0.016    0.000
      65    0.646    0.000    0.000    0.000    0.000    0.000    0.000    0.338    0.015    0.000
      66    0.652    0.000    0.000    0.000    0.000    0.000    0.000    0.333    0.015    0.000
      67    0.657    0.000    0.000    0.000    0.000    0.000    0.000    0.328    0.015    0.000
      68    0.662    0.000    0.000    0.000    0.000    0.000    0.000    0.324    0.015    0.000
      69    0.667    0.000    0.000    0.000    0.000    0.000    0.000    0.319    0.014    0.000
      70    0.671    0.000    0.000    0.000    0.000    0.000    0.000    0.314    0.014    0.000
      71    0.676    0.000    0.000    0.000    0.000    0.000    0.000    0.310    0.014    0.000
      72    0.681    0.000    0.000    0.000    0.000    0.000    0.000    0.306    0.014    0.000
      73    0.685    0.000    0.000    0.000    0.000    0.000    0.000    0.301    0.014    0.000
      74    0.689    0.000    0.000    0.000    0.000    0.000    0.000    0.297    0.014    0.000
      75    0.693    0.000    0.000    0.000    0.000    0.000    0.000    0.293    0.013    0.000
      76    0.697    0.000    0.000    0.000    0.000    0.000    0.000    0.289    0.013    0.000
      77    0.701    0.000    0.000    0.000    0.000    0.000    0.000    0.286    0.013    0.000
      78    0.705    0.000    0.000    0.000    0.000    0.000    0.000    0.282    0.013    0.000
      79    0.709    0.000    0.000    0.000    0.000    0.000    0.000    0.278    0.013    0.000
      80    0.712    0.000    0.000    0.000    0.000    0.000    0.000    0.275    0.013    0.000
      81    0.716    0.000    0.000    0.000    0.000    0.000    0.000    0.272    0.012    0.000
      82    0.720    0.000    0.000    0.000    0.000    0.000    0.000    0.268    0.012    0.000
      83    0.723    0.000    0.000    0.000    0.000    0.000    0.000    0.265    0.012    0.000
      84    0.714    0.012    0.000    0.000    0.000    0.000    0.000    0.262    0.012    0.000
      85    0.706    0.024    0.000    0.000    0.000    0.000    0.000    0.259    0.012    0.000
      86    0.698    0.035    0.000    0.000    0.000    0.000    0.000    0.256    0.012    0.000
      87    0.690    0.046    0.000    0.000    0.000    0.000    0.000    0.253    0.011    0.000
      88    0.682    0.057    0.000    0.000    0.000    0.000    0.000    0.250    0.011    0.000
      89    0.674    0.067    0.000    0.000    0.000    0.000    0.000    0.247    0.011    0.000
      90    0.667    0.078    0.000    0.000    0.000    0.000    0.000    0.244    0.011    0.000
      91    0.659    0.088    0.000    0.000    0.000    0.000    0.000    0.242    0.011    0.000
      92    0.652    0.098    0.000    0.000    0.000    0.000    0.000    0.239    0.011    0.000
      93    0.645    0.108    0.000    0.000    0.000    0.000    0.000    0.237    0.011    0.000
      94    0.638    0.117    0.000    0.000    0.000    0.000    0.000    0.234    0.011    0.000
      95    0.632    0.126    0.000    0.000    0.000    0.000    0.000    0.232    0.011    0.000
      96    0.625    0.135    0.000    0.000    0.000    0.000    0.000    0.229    0.010    0.000
      97    0.619    0.144    0.000    0.000    0.000    0.000    0.000    0.227    0.010    0.000
      98    0.612    0.153    0.000    0.000    0.000    0.000    0.000    0.224    0.010    0.000
      99    0.606    0.162    0.000    0.000    0.000    0.000    0.000    0.222    0.010    0.000
     100    0.600    0.170    0.000    0.000    0.000    0.000    0.000    0.220    0.010    0.000
     101    0.594    0.178    0.000    0.000    0.000    0.000    0.000    0.218    0.010    0.000
     102    0.588    0.186    0.000    0.000    0.000    0.000    0.000    0.216    0.010    0.000
     103    0.583    0.194    0.000    0.000    0.000    0.000    0.000    0.214    0.010    0.000
     104    0.577    0.202    0.000    0.000    0.000    0.000    0.000    0.212    0.010    0.000
     105    0.571    0.210    0.000    0.000    0.000    0.000    0.000    0.210    0.010    0.000
     106    0.566    0.217    0.000    0.000    0.000    0.000    0.000    0.208    0.009    0.000
     107    0.561    0.224    0.000    0.000    0.000    0.000    0.000    0.206    0.009    0.000
     108    0.556    0.231    0.000    0.000    0.000    0.000    0.000    0.204    0.009    0.000
     109    0.550    0.239    0.000    0.000    0.000    0.000    0.000    0.202    0.009    0.000
     110    0.545    0.245    0.000    0.000    0.000    0.000    0.000    0.200    0.009    0.000
     111    0.541    0.252    0.000    0.000    0.000    0.000    0.000    0.198    0.009    0.000
     112    0.536    0.259    0.000    0.000    0.000    0.000    0.000    0.196    0.009    0.000
     113    0.531    0.265    0.000    0.000    0.000    0.000    0.000    0.195    0.009    0.000
