# 1st <= 1332 < 2nd
# 1st= 1332  2nd= 1332
#Cluster    Total     Frac C#      Color NumIn1st NumIn2nd    Frac1    Frac2   First1   First2
0             981   0.3682  1      black      202      779   0.1517   0.5848        2        1
1             484   0.1817  2        red      339      145   0.2545   0.1089       84      473
2             356   0.1336  3      green        0      356   0.0000   0.2673       -1       75
3             342   0.1284  4       blue      342        0   0.2568   0.0000      957       -1
4             316   0.1186  5     yellow      316        0   0.2372   0.0000      507       -1
5             109   0.0409  6      brown       64       45   0.0480   0.0338      475       30
6              43   0.0161  7       grey       43        0   0.0323   0.0000      401       -1
7              23   0.0086  8     violet       22        1   0.0165   0.0008       19     1059
8               6   0.0023  9       cyan        4        2   0.0030   0.0015        1      431
9               4   0.0015 10    magenta        0        4   0.0000   0.0030       -1        3
